fetched_at,commence_time,home_team,away_team,sportsbook,home_spread,away_spread,home_spread_price,away_spread_price
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,betus,-3.0,3.0,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,mybookieag,-2.5,2.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,lowvig,-2.5,2.5,-116,105
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,betonlineag,-2.5,2.5,-119,-101
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,fanduel,-2.5,2.5,-120,-102
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,betrivers,-3.0,3.0,-105,-117
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,betmgm,-3.0,3.0,-102,-118
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,DEN,JAX,bovada,-2.5,2.5,-120,100
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,draftkings,-6.5,6.5,-122,102
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,betus,-7.0,7.0,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,mybookieag,-6.5,6.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,lowvig,-6.5,6.5,-113,102
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,betonlineag,-6.5,6.5,-116,-104
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,fanduel,-6.5,6.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,betrivers,-6.5,6.5,-115,-106
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,betmgm,-7.0,7.0,-108,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:05:00Z,LAC,LV,bovada,-6.5,6.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,draftkings,3.5,-3.5,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,betus,4.0,-4.0,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,mybookieag,4.0,-4.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,lowvig,4.0,-4.0,-110,100
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,betonlineag,4.0,-4.0,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,fanduel,4.5,-4.5,-120,-102
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,betrivers,4.0,-4.0,-113,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,betmgm,4.0,-4.0,-112,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,ARI,SEA,bovada,3.5,-3.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,draftkings,-3.5,3.5,-120,100
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,betus,-4.0,4.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,mybookieag,-4.5,4.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,lowvig,-4.0,4.0,-102,-108
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,betonlineag,-4.0,4.0,-107,-113
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,fanduel,-4.5,4.5,-102,-120
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,betrivers,-4.0,4.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,betmgm,-4.0,4.0,-105,-112
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,DAL,WAS,bovada,-4.0,4.0,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,draftkings,-13.5,13.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,betus,-13.5,13.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,mybookieag,-13.5,13.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,lowvig,-13.0,13.0,-109,-101
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,betonlineag,-13.0,13.0,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,fanduel,-13.5,13.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,betrivers,-13.5,13.5,-112,-109
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,betmgm,-13.5,13.5,-108,-110
2026-09-20T13:26:33.524167+00:00,2026-09-20T20:25:00Z,SF,MIA,bovada,-13.5,13.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,draftkings,-6.0,6.0,-108,-112
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,betus,-6.0,6.0,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,betonlineag,-6.0,6.0,-106,-114
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,lowvig,-6.0,6.0,-101,-109
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,fanduel,-6.5,6.5,-102,-120
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,betrivers,-6.0,6.0,-114,-107
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,mybookieag,-6.0,6.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-21T00:20:00Z,KC,IND,bovada,-5.5,5.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,draftkings,-7.0,7.0,-108,-112
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,betus,-7.0,7.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,betonlineag,-7.0,7.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,lowvig,-7.0,7.0,-105,-105
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,fanduel,-7.5,7.5,100,-122
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,betrivers,-7.0,7.0,-112,-109
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,betmgm,-7.0,7.0,-110,-108
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,mybookieag,-7.0,7.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-22T00:15:00Z,LA,NYG,bovada,-7.0,7.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-25T00:15:00Z,GB,ATL,draftkings,-6.5,6.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-25T00:15:00Z,GB,ATL,fanduel,-6.5,6.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-25T00:15:00Z,GB,ATL,betrivers,-6.5,6.5,-109,-112
2026-09-20T13:26:33.524167+00:00,2026-09-25T00:15:00Z,GB,ATL,mybookieag,-6.5,6.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,CLE,CAR,draftkings,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,CLE,CAR,betus,2.5,-2.5,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,CLE,CAR,fanduel,3.0,-3.0,-112,-108
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,CLE,CAR,betrivers,3.0,-3.0,-117,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,CLE,CAR,lowvig,2.5,-2.5,105,-116
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,CLE,CAR,betonlineag,2.5,-2.5,100,-120
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,CLE,CAR,mybookieag,3.0,-3.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,PIT,CIN,draftkings,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,PIT,CIN,betus,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,PIT,CIN,fanduel,2.5,-2.5,-114,-106
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,PIT,CIN,betrivers,2.5,-2.5,-108,-113
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,PIT,CIN,lowvig,2.5,-2.5,-105,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,PIT,CIN,betonlineag,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,PIT,CIN,mybookieag,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,IND,HOU,draftkings,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,IND,HOU,betus,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,IND,HOU,fanduel,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,IND,HOU,betrivers,2.5,-2.5,-108,-113
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,IND,HOU,lowvig,2.5,-2.5,100,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,IND,HOU,betonlineag,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,IND,HOU,mybookieag,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,JAX,NE,draftkings,-2.5,2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,JAX,NE,betus,-2.5,2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,JAX,NE,fanduel,-1.5,1.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,JAX,NE,betrivers,-2.5,2.5,-109,-112
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,JAX,NE,lowvig,-2.5,2.5,-105,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,JAX,NE,betonlineag,-2.5,2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,JAX,NE,mybookieag,-2.5,2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,MIA,KC,draftkings,8.5,-8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,MIA,KC,betus,8.5,-8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,MIA,KC,fanduel,8.5,-8.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,MIA,KC,betrivers,8.5,-8.5,-112,-109
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,MIA,KC,lowvig,8.5,-8.5,-105,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,MIA,KC,betonlineag,8.5,-8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,MIA,KC,mybookieag,8.5,-8.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,NYG,TEN,draftkings,-5.5,5.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,NYG,TEN,betus,-5.5,5.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,NYG,TEN,fanduel,-5.5,5.5,-120,-102
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,NYG,TEN,betrivers,-6.0,6.0,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,NYG,TEN,lowvig,-5.5,5.5,-110,100
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,NYG,TEN,betonlineag,-5.5,5.5,-115,-105
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,NYG,TEN,mybookieag,-5.5,5.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,WAS,SEA,draftkings,2.5,-2.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,WAS,SEA,betus,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,WAS,SEA,fanduel,1.5,-1.5,-110,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,WAS,SEA,betrivers,2.5,-2.5,-109,-112
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,WAS,SEA,lowvig,2.5,-2.5,100,-110
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,WAS,SEA,betonlineag,2.5,-2.5,-105,-115
2026-09-20T13:26:33.524167+00:00,2026-09-27T17:00:00Z,WAS,SEA,mybookieag,2.5,-2.5,-110,-110
